,Names,Situacoes
118,AGROINDUSTRIAL UNIDOS S/A,Cancelado em 11/01/2011
119,AGROINDUSTRIAL VERA CRUZ S/A,Concedido em 04/10/1990
120,AGROISA-AGROINDL CAMPO NOVO SA,Cancelado em 14/02/2012
121,AGROJAISA AGROPEC JATAHY INDL,Cancelado em 14/09/2011
122,AGROLANDIA ACAILANDIA IND SA,Cancelado em 14/02/2012
123,AGROLUPE-AGROPEC GUADALUPE SA,Cancelado em 14/02/2012
124,AGROLUSA-AGROINDL LUSITANA SA,Cancelado em 05/03/1997
125,AGROMA EMPREEND RURAIS SA,Cancelado em 14/02/2012
126,AGROMALTA AGROP MARANHENSE SA,Cancelado em 30/09/2011
127,AGROMON SA AGRICULTURA E PEC,Cancelado em 14/02/2012
128,AGROMOSA AGROP M F OLIVEIRA SA,Cancelado em 14/02/2012
129,AGROMUNDO AGROPEC RAIM VIA SA,Cancelado em 28/09/2008
130,AGRON AGROINDL SA,Cancelado em 14/02/2012
131,AGRONESA-AGROPEC NOVA ESPERANÇA,Cancelado em 10/01/2012
132,AGRONORTE SA,Cancelado em 20/12/2005
133,AGRONOSA AGROPEC NORTE SA,Cancelado em 05/07/2011
134,AGROPALMA SA,Cancelado em 14/02/2012
135,AGROPARANÁ S/A,Cancelado em 14/02/2012
136,AGROPASA AGR MED PARAGUASSU SA,Cancelado em 14/02/2012
137,AGROPASTORIL CANTANHEDE SA,Cancelado em 14/02/2012
138,AGROPASTORIL DOIS ACUDES S/A,Cancelado em 14/02/2012
139,AGROPASTORIL ESTRELA DO ORIENTE SA,Cancelado em 10/06/2011
140,AGROPASTORIL GADO BRANCO SA,Cancelado em 19/01/2011
141,AGROPASTORIL GALDINO SA,Cancelado em 28/09/2008
142,AGROPASTORIL IPUIRU SA,Cancelado em 28/09/2008
143,AGROPASTORIL JAFFARABAD SA,Cancelado em 14/02/2012
144,AGROPASTORIL JOSE IVO SA,Cancelado em 14/02/2012
145,AGROPASTORIL LAGOA DE CIMA S/A - LACIMA,Cancelado em 03/04/2009
146,AGROPASTORIL LIVRAMENTO SA,Cancelado em 14/02/2012
147,AGROPASTORIL MURRAH S/A - AGROMURRAH,Cancelado em 14/02/2012
148,AGROPASTORIL RIO CUNANY SA,Cancelado em 28/09/2008
149,AGROPASTORIL RODA VELHA SA,Cancelado em 22/10/2007
150,AGROPASTORIL SANGUINETTE SA AGROSAN,Cancelado em 17/07/2013
151,AGROPASTORIL SERRA DA EMA SA,Cancelado em 28/09/2008
152,AGROPASTORIL SERRA DA EMA SA,Cancelado em 25/11/2011
153,AGROPEC AGUA BRANCA SA,Cancelado em 28/09/2008
