,Names,Situacoes
149,CIA PROVINCIA DE SECURITIZAÇÃO,Concedido em 21/08/2003
150,CIA RIOGRANDENSE DE SANEAMENTO,Concedido em 19/12/1997
151,CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO,Concedido em 27/06/1994
152,CIA SEGUROS ALIANCA BAHIA,Concedido em 20/07/1977
153,CIA SIDERURGICA NACIONAL,Concedido em 26/02/1943
154,CIA TECIDOS NORTE DE MINAS - COTEMINAS,Concedido em 11/02/1971
155,CIA TECIDOS SANTANENSE,Concedido em 20/12/1984
156,CIA. DE SANEAMENTO DO PARANÁ - SANEPAR,Concedido em 10/03/2000
157,CIA. DISTRIB. DE GÁS DO RIO DE JANEIRO,Concedido em 17/11/1997
158,CIA. SECURITIZADORA DE CRÉDITOS FINANCEIROS VERT-RECARGAPAY,Concedido em 26/10/2020
159,CIBRASEC CIA BRASILEIRA DE SECURITIZAÇÃO,Concedido em 31/05/1999
160,CIELO S.A.,Concedido em 25/06/2009
161,CIMS SA,Concedido em 14/03/1995
162,CINESYSTEM S.A.,Concedido em 20/07/2016
163,CLARO TELECOM PARTICIPAÇÕES S.A.,Concedido em 05/12/2014
164,COBRASMA SA,Concedido em 12/12/1979
165,COBUCCIO SECURITIZADORA DE CRÉDITOS S.A.,Concedido em 23/05/2019
166,COGNA EDUCAÇÃO S.A.,Concedido em 01/12/1998
167,COMPANHIA  MELHORAMENTOS DE SÃO PAULO,Concedido em 20/07/1977
168,COMPANHIA AGROPASTORIL DO RIO TIRAXIMIM,Concedido em 14/09/2012
169,COMPANHIA AGROPECUARIA DO ARAME,Concedido em 24/10/1989
170,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO,Concedido em 04/04/1995
171,COMPANHIA CELG DE PARTICIPAÇÕES,Concedido em 14/03/2008
172,COMPANHIA DE ÁGUA E ESGOTO DO CEARÁ,Concedido em 19/01/2000
173,COMPANHIA DE FIACAO E TECIDOS CEDRO E CACHOEIRA,Concedido em 11/08/1969
